,Latitude,Longitude,Arithmetic Mean Ozone,1st Max Value Ozone,AQI Ozone,Arithmetic Mean CO,1st Max Value CO,AQI CO,Arithmetic Mean NO2,1st Max Value NO2,AQI NO2,Arithmetic Mean SO2,1st Max Value SO2,AQI SO2,clusters,cluster
608,33.553056,-86.815,0.024765,0.026,24.0,0.1,0.1,1.0,1.308333,1.9,1.0,-0.191667,-0.1,0.0,2,purple
612,33.553056,-86.815,0.017824,0.025,23.0,0.133333,0.2,2.0,1.954167,4.2,4.0,-0.2375,-0.2,0.0,2,purple
616,33.553056,-86.815,0.025353,0.03,28.0,0.2,0.2,2.0,5.455556,8.1,8.0,0.555556,1.9,1.0,2,purple
620,33.553056,-86.815,0.012563,0.034,31.0,0.366667,0.5,6.0,16.49375,29.4,27.0,0.55,1.9,1.0,1,dark pink
624,33.553056,-86.815,0.023941,0.028,26.0,0.366667,0.6,7.0,9.204167,19.8,18.0,0.654167,2.4,3.0,2,purple
628,33.553056,-86.815,0.017294,0.025,23.0,0.208333,0.3,3.0,5.8625,21.4,20.0,0.316667,1.7,1.0,2,purple
632,33.553056,-86.815,0.031,0.033,31.0,0.208333,0.3,3.0,8.7,21.5,20.0,0.925,4.0,6.0,2,purple
636,33.553056,-86.815,0.021941,0.026,24.0,0.2,0.2,2.0,4.375,14.8,13.0,0.2,0.7,0.0,2,purple
640,33.553056,-86.815,0.017647,0.031,29.0,0.254545,0.3,3.0,10.04375,20.9,19.0,0.746667,3.7,4.0,2,purple
644,33.553056,-86.815,0.012882,0.032,30.0,0.441667,0.8,9.0,20.316667,33.1,31.0,1.183333,2.4,3.0,1,dark pink
648,33.553056,-86.815,0.017882,0.033,31.0,0.4125,0.8,9.0,17.954167,30.8,28.0,0.808333,2.4,3.0,1,dark pink
652,33.553056,-86.815,0.004455,0.014,13.0,0.4625,0.5,6.0,19.115789,29.2,27.0,0.584211,2.1,3.0,1,dark pink
656,33.553056,-86.815,0.022294,0.028,26.0,0.333333,0.6,7.0,12.9,24.0,23.0,0.816667,5.3,7.0,2,purple
660,33.553056,-86.815,0.025176,0.027,25.0,0.204167,0.3,3.0,2.658333,4.3,4.0,0.133333,0.2,0.0,2,purple
664,33.553056,-86.815,0.012176,0.03,28.0,0.241667,0.5,6.0,8.391667,26.6,25.0,0.145833,0.8,0.0,2,purple
668,33.553056,-86.815,0.022765,0.026,24.0,0.505882,0.6,7.0,14.83,24.1,23.0,0.89,1.9,1.0,2,purple
672,33.553056,-86.815,0.031706,0.035,32.0,0.222222,0.3,3.0,5.852941,9.3,8.0,0.688235,1.7,1.0,2,purple
676,33.553056,-86.815,0.02225,0.026,24.0,0.2,0.2,2.0,4.48,11.2,10.0,0.0,0.1,0.0,2,purple
680,33.553056,-86.815,0.020941,0.022,20.0,0.186667,0.2,2.0,4.0,6.8,6.0,0.005556,0.3,0.0,2,purple
684,33.553056,-86.815,0.017059,0.03,28.0,0.220833,0.4,5.0,6.616667,25.7,24.0,0.016667,0.2,0.0,2,purple
688,33.553056,-86.815,0.015941,0.036,33.0,0.366667,0.5,6.0,19.6375,39.6,37.0,0.541667,1.3,1.0,1,dark pink
692,33.553056,-86.815,0.026882,0.035,32.0,0.4,0.6,7.0,19.2875,36.8,34.0,0.841667,2.8,3.0,1,dark pink
696,33.553056,-86.815,0.028294,0.033,31.0,0.244444,0.3,3.0,10.457143,30.6,28.0,0.361905,0.8,0.0,1,dark pink
700,33.553056,-86.815,0.025882,0.034,31.0,0.225,0.3,3.0,6.183333,14.6,13.0,0.027778,0.2,0.0,2,purple
704,33.553056,-86.815,0.015294,0.035,32.0,0.279167,0.6,7.0,20.108696,37.7,35.0,0.565217,1.5,1.0,1,dark pink
708,33.553056,-86.815,0.035059,0.037,34.0,0.3375,0.6,7.0,9.5375,32.5,30.0,0.166667,0.8,0.0,1,dark pink
712,33.553056,-86.815,0.023353,0.037,34.0,0.158333,0.4,5.0,9.3375,35.3,33.0,0.070833,0.3,0.0,1,dark pink
716,33.553056,-86.815,0.019588,0.043,40.0,0.25,0.6,7.0,13.116667,37.6,35.0,0.4625,1.0,1.0,1,dark pink
720,33.553056,-86.815,0.017765,0.037,34.0,0.529167,0.8,9.0,25.7,39.7,37.0,0.9125,2.1,3.0,1,dark pink
724,33.553056,-86.815,0.043353,0.047,44.0,0.258333,0.5,6.0,15.2375,32.8,30.0,0.666667,2.5,3.0,1,dark pink
728,33.553056,-86.815,0.029176,0.033,31.0,0.2,0.2,2.0,8.585,14.3,13.0,0.385,1.5,1.0,2,purple
732,33.553056,-86.815,0.019294,0.028,26.0,0.2,0.2,2.0,5.857143,13.8,12.0,0.019048,0.2,0.0,2,purple
736,33.553056,-86.815,0.025235,0.029,27.0,0.2,0.2,2.0,2.795455,3.7,3.0,-0.086364,0.0,0.0,2,purple
740,33.553056,-86.815,0.024118,0.038,35.0,0.175,0.3,3.0,4.9,21.3,20.0,0.045833,0.6,0.0,2,purple
744,33.553056,-86.815,0.018353,0.038,35.0,0.270833,0.4,5.0,15.333333,30.6,28.0,0.333333,2.2,3.0,1,dark pink
748,33.553056,-86.815,0.023,0.035,32.0,0.366667,0.5,6.0,18.179167,32.5,30.0,0.829167,3.5,4.0,1,dark pink
752,33.553056,-86.815,0.016941,0.038,35.0,0.316667,0.6,7.0,15.652381,34.8,32.0,0.180952,0.9,0.0,1,dark pink
756,33.553056,-86.815,0.018118,0.042,39.0,0.477778,0.7,8.0,19.152381,37.3,35.0,1.061905,2.5,3.0,1,dark pink
760,33.553056,-86.815,0.025235,0.045,42.0,0.533333,0.7,8.0,23.25,43.6,41.0,1.0,3.2,4.0,1,dark pink
764,33.553056,-86.815,0.038118,0.057,58.0,0.391667,0.7,8.0,16.433333,40.4,38.0,0.629167,1.1,1.0,1,dark pink
768,33.553056,-86.815,0.032529,0.043,40.0,0.275,0.6,7.0,5.179167,16.9,15.0,0.033333,0.3,0.0,2,purple
772,33.553056,-86.815,0.029294,0.039,36.0,0.2,0.2,2.0,3.470833,13.3,12.0,-0.0875,0.1,0.0,2,purple
776,33.553056,-86.815,0.017824,0.04,37.0,0.8,2.6,30.0,36.626667,48.7,45.0,0.1,0.7,0.0,1,dark pink
